iter	Passed	Remaining
213	55470	203736
214	55737	203505
215	55985	203207
216	56224	202873
217	56472	202576
218	56720	202278
219	56977	202010
220	57223	201705
221	57472	201411
222	57729	201145
223	57973	200837
224	58229	200567
225	58476	200270
226	58717	199950
227	58968	199666
228	59220	199383
229	59468	199089
230	59724	198821
231	59977	198545
232	60220	198235
233	60465	197934
234	60712	197639
235	60965	197361
236	61215	197076
237	61472	196814
238	61693	196438
239	61946	196163
240	62198	195886
241	62460	195641
242	62700	195327
243	62955	195059
244	63211	194793
245	63476	194558
246	63733	194298
247	63991	194038
248	64253	193791
249	64509	193527
250	64762	193255
251	65034	193038
252	65287	192765
253	65548	192515
254	65806	192257
255	66078	192041
256	66331	191769
257	66597	191532
258	66858	191283
259	67110	191005
260	67368	190749
261	67626	190488
262	67865	190178
263	68108	189877
264	68362	189610
265	68597	189288
266	68844	189000
267	69077	188675
268	69325	188390
269	69586	188140
270	69921	188092
271	70294	188140
272	70518	187791
273	70808	187616
274	71047	187307
275	71286	186997
276	71546	186743
277	71770	186397
278	72034	186154
279	72291	185892
280	72545	185623
281	72826	185423
282	73069	185127
283	73321	184852
284	73575	184584
285	73817	184286
286	74064	183999
287	74311	183715
288	74565	183446
289	74828	183200
290	75082	182933
291	75332	182655
292	75608	182440
293	75851	182147
294	76104	181877
295	76339	181563
296	76598	181309
297	76861	181063
298	77122	180812
299	77368	180526
300	77631	180280
301	77903	180055
302	78146	179763
303	78366	179417
304	78598	179101
305	78860	178852
306	79089	178529
307	79329	178233
308	79568	177935
309	79830	177687
310	80085	177424
311	80346	177174
312	80598	176904
313	80842	176617
314	81096	176353
315	81359	176106
316	81630	175879
317	81900	175648
318	82156	175388
319	82422	175147
320	82677	174885
321	82940	174638
322	83208	174403
323	83466	174146
324	83728	173896
325	83995	173660
326	84251	173398
327	84497	173117
328	84769	172888
329	85041	172660
330	85308	172422
331	85574	172180
332	85843	171945
333	86105	171695
334	86347	171406
335	86605	171149
336	86872	170909
337	87136	170663
338	87394	170405
339	87648	170141
340	87925	169920
341	88196	169688
342	88457	169435
343	88714	169177
344	88973	168920
345	89236	168672
346	89502	168429
347	89759	168170
348	90023	167923
349	90294	167689
350	90560	167446
351	90799	167153
352	91074	166926
353	91372	166741
354	91702	166614
355	91929	166299
356	92198	166059
357	92461	165810
358	92726	165565
359	92991	165318
360	93250	165061
361	93520	164822
362	93785	164576
363	94051	164332
364	94296	164049
365	94564	163809
366	94823	163550
367	95083	163295
368	95336	163028
369	95598	162775
370	95849	162505
371	96111	162252
372	96378	162009
373	96634	161747
374	96901	161502
375	97150	161228
376	97460	161055
377	97696	160759
378	97957	160504
379	98201	160224
380	98460	159966
381	98724	159717
382	98983	159458
383	99243	159203
384	99487	158921
385	99749	158668
386	100009	158412
387	100278	158172
388	100548	157930
389	100810	157678
390	101074	157428
391	101333	157170
392	101589	156907
393	101847	156649
394	102114	156402
395	102377	156150
396	102643	155904
397	102915	155666
398	103170	155401
399	103430	155146
400	103698	154900
401	103960	154647
402	104218	154387
403	104470	154120
404	104732	153866
405	104990	153606
406	105251	153351
407	105507	153089
408	105772	152840
409	106033	152584
410	106296	152333
411	106543	152057
412	106808	151808
413	107076	151562
414	107355	151332
415	107594	151045
416	107843	150774
417	108110	150526
418	108368	150267
419	108623	150004
420	108878	149739
421	109151	149501
422	109416	149250
423	109684	149004
424	109940	148743
425	110207	148495
426	110479	148254
427	110741	147999
428	111014	147760
429	111279	147509
430	111545	147260
431	111829	147035
432	112086	146773
433	112351	146522
434	112612	146267
435	112894	146037
436	113123	145740
437	113392	145493
438	113657	145243
439	113928	144999
440	114186	144740
441	114434	144466
442	114705	144224
443	114975	143977
444	115233	143718
445	115461	143420
446	115715	143155
447	115980	142904
448	116243	142651
449	116490	142377
450	116744	142112
451	117020	141874
452	117286	141623
453	117535	141352
454	117794	141094
455	118064	140849
456	118330	140598
457	118595	140347
458	118863	140098
459	119126	139844
460	119400	139602
461	119664	139349
462	119927	139094
463	120171	138819
464	120443	138575
465	120716	138331
466	120961	138056
467	121234	137813
468	121507	137570
469	121770	137316
470	122022	137048
471	122276	136784
472	122544	136534
473	122799	136271
474	123060	136014
475	123318	135754
476	123589	135508
477	123847	135248
478	124106	134988
479	124361	134724
480	124641	134488
481	124897	134226
482	125162	133972
483	125417	133710
484	125688	133462
485	125950	133206
486	126219	132958
487	126482	132702
488	126763	132466
489	127029	132214
490	127291	131957
491	127549	131697
492	127815	131445
493	128078	131189
494	128330	130922
495	128602	130676
496	128878	130434
497	129150	130187
498	129427	129946
499	129699	129699
500	129947	129428
501	130224	129187
502	130490	128933
503	130749	128674
504	131019	128425
505	131289	128175
506	131549	127917
507	131801	127650
508	132062	127392
509	132326	127137
510	132594	126885
511	132856	126628
512	133086	126341
513	133324	126061
514	133586	125804
515	133844	125543
516	134103	125284
517	134343	125007
518	134612	124756
519	134885	124509
520	135154	124258
521	135420	124005
522	135684	123750
523	135947	123494
524	136225	123251
525	136484	122991
526	136753	122741
527	137015	122483
528	137281	122230
529	137512	121945
530	137769	121683
531	138027	121423
532	138287	121163
533	138547	120905
534	138809	120647
535	139075	120393
536	139340	120138
537	139605	119884
538	139866	119625
539	140125	119366
540	140389	119110
541	140662	118862
542	140921	118602
543	141176	118339
544	141429	118073
545	141674	117803
546	141941	117549
547	142208	117295
548	142473	117041
549	142738	116786
550	143000	116528
551	143255	116265
552	143505	115998
553	143762	115736
554	144013	115470
555	144268	115207
556	144543	114959
557	144804	114701
558	145071	114448
559	145342	114198
560	145604	113939
561	145868	113683
562	146144	113437
563	146408	113181
564	146660	112915
565	146913	112650
566	147187	112402
567	147451	112146
568	147713	111888
569	147953	111613
570	148205	111348
571	148456	111082
572	148697	110809
573	148957	110550
574	149212	110287
575	149485	110037
576	149739	109774
577	149998	109514
578	150249	109248
579	150513	108992
580	150773	108733
581	151035	108475
582	151296	108217
583	151566	107964
584	151836	107712
585	152098	107455
586	152371	107205
587	152641	106953
588	152907	106697
589	153164	106436
590	153420	106174
591	153683	105917
592	153944	105658
593	154202	105397
594	154469	105143
595	154736	104888
596	154999	104631
597	155268	104377
598	155534	104122
599	155814	103876
600	156084	103623
601	156353	103370
602	156604	103104
603	156873	102850
604	157134	102591
605	157390	102329
606	157653	102072
607	157923	101819
608	158187	101562
609	158463	101312
610	158725	101054
611	159002	100805
612	159269	100550
613	159535	100294
614	159801	100038
615	160069	99783
616	160342	99532
617	160617	99281
618	160874	99019
619	161153	98771
620	161419	98515
621	161683	98258
622	161927	97988
623	162196	97733
624	162460	97476
625	162733	97223
626	162961	96945
627	163225	96687
628	163494	96433
629	163767	96181
630	164032	95924
631	164283	95658
632	164544	95399
633	164797	95135
634	165058	94876
635	165311	94612
636	165566	94349
637	165834	94094
638	166094	93834
639	166359	93577
640	166624	93319
641	166885	93060
642	167158	92807
643	167407	92542
644	167669	92283
645	167934	92026
646	168195	91766
647	168422	91488
648	168685	91230
649	168948	90972
650	169209	90712
651	169473	90455
652	169725	90190
653	169985	89930
654	170248	89672
655	170510	89414
656	170787	89162
657	171050	88904
658	171317	88648
659	171583	88391
660	171828	88123
661	172083	87861
662	172354	87607
663	172623	87351
664	172876	87088
665	173145	86832
666	173400	86570
667	173663	86311
668	173926	86053
669	174200	85800
670	174469	85544
671	174733	85286
672	174994	85027
673	175270	84774
674	175538	84518
675	175799	84259
676	176066	84002
677	176333	83745
678	176589	83483
679	176852	83224
680	177119	82967
681	177383	82709
682	177648	82451
683	177917	82195
684	178185	81939
685	178432	81673
686	178707	81420
687	178986	81168
688	179259	80913
689	179516	80652
690	179793	80399
691	180077	80149
692	180364	79901
693	180616	79637
694	180876	79377
695	181142	79119
696	181410	78862
697	181670	78602
698	181928	78341
699	182195	78083
700	182460	77825
701	182723	77566
702	182983	77306
703	183253	77049
704	183517	76791
705	183791	76536
706	184049	76275
707	184328	76022
708	184594	75764
709	184860	75506
710	185072	75226
711	185339	74968
712	185614	74714
713	185881	74456
714	186131	74192
715	186200	73856
716	186476	73602
717	186749	73347
718	187027	73094
719	187281	72831
720	187554	72576
721	187819	72318
722	188074	72056
723	188321	71791
724	188564	71524
725	188827	71265
726	189085	71004
727	189358	70749
728	189622	70490
729	189899	70236
730	190180	69984
731	190440	69724
732	190708	69466
733	190974	69208
734	191253	68955
735	191527	68700
736	191809	68447
737	192079	68190
738	192357	67936
739	192631	67681
740	192885	67418
741	193149	67159
742	193413	66900
743	193669	66638
744	193937	66381
745	194200	66121
746	194462	65862
747	194724	65602
748	194953	65331
749	195219	65073
750	195493	64817
751	195764	64560
752	196032	64302
753	196287	64040
754	196550	63781
755	196813	63521
756	197078	63263
757	197347	63005
758	197617	62748
759	197884	62489
760	198151	62231
761	198434	61978
762	198695	61717
763	198973	61462
764	199246	61206
765	199514	60948
766	199793	60693
767	200072	60438
768	200353	60184
769	200595	59918
770	200870	59661
771	201141	59404
772	201421	59149
773	201645	58878
774	201927	58624
775	202188	58363
776	202464	58107
777	202741	57851
778	203005	57592
779	203281	57335
780	203546	57076
781	203769	56805
782	204036	56546
783	204305	56288
784	204573	56029
785	204840	55770
786	205090	55507
787	205356	55248
788	205630	54991
789	205889	54730
790	206133	54465
791	206399	54206
792	206672	53948
793	206934	53688
794	207188	53425
795	207460	53168
796	207737	52911
797	208020	52656
798	208266	52392
799	208524	52131
800	208787	51870
801	209059	51613
802	209330	51355
803	209587	51093
804	209855	50834
805	210113	50573
806	210391	50316
807	210624	50049
808	210897	49791
809	211162	49531
810	211435	49274
811	211688	49011
812	211948	48750
813	212217	48491
814	212490	48234
815	212752	47973
816	213015	47713
817	213287	47455
818	213561	47197
819	213794	46930
820	214063	46671
821	214326	46411
822	214588	46150
823	214856	45891
824	215123	45632
825	215392	45373
826	215667	45115
827	215938	44856
828	216219	44600
829	216502	44343
830	216793	44089
831	217077	43832
832	217325	43569
833	217593	43310
834	217864	43051
835	218126	42790
836	218358	42523
837	218623	42263
838	218899	42005
839	219170	41746
840	219419	41483
841	219684	41223
842	219955	40964
843	220214	40703
844	220474	40441
845	220731	40180
846	220999	39920
847	221271	39661
848	221542	39402
849	221792	39139
850	222071	38882
851	222338	38622
852	222616	38364
853	222874	38102
854	223152	37844
855	223428	37586
856	223705	37327
857	223980	37069
858	224262	36811
859	224525	36550
860	224809	36293
861	225054	36029
862	225328	35770
863	225597	35510
864	225860	35249
865	226119	34988
866	226385	34728
867	226644	34466
868	226915	34207
869	227177	33946
870	227454	33687
871	227729	33428
872	227992	33167
873	228262	32907
874	228535	32647
875	228808	32388
876	229089	32129
877	229366	31870
878	229638	31611
879	229898	31349
880	230166	31089
881	230428	30828
882	230702	30568
883	230981	30309
884	231246	30049
885	231477	29783
886	231741	29522
887	232020	29263
888	232294	29004
889	232566	28744
890	232824	28482
891	233114	28224
892	233378	27963
893	233654	27703
894	233912	27442
895	234191	27182
896	234454	26921
897	234720	26660
898	234984	26399
899	235256	26139
900	235533	25879
901	235802	25619
902	236067	25358
903	236340	25098
904	236610	24837
905	236883	24577
906	237151	24316
907	237398	24053
908	237675	23793
909	237938	23532
910	238190	23269
911	238440	23007
912	238722	22747
913	238998	22487
914	239261	22226
915	239537	21966
916	239812	21706
917	240101	21447
918	240382	21187
919	240648	20925
920	240916	20664
921	241192	20404
922	241454	20143
923	241716	19881
924	241998	19621
925	242277	19361
926	242539	19099
927	242811	18838
928	243091	18578
929	243362	18317
930	243635	18056
931	243904	17795
932	244172	17534
933	244450	17273
934	244722	17012
935	244945	16748
936	245214	16487
937	245487	16226
938	245764	15965
939	245990	15701
940	246265	15440
941	246525	15178
942	246800	14917
943	247069	14656
944	247347	14395
945	247623	14134
946	247904	13874
947	248165	13612
948	248439	13351
949	248702	13089
950	248970	12828
951	249235	12566
952	249511	12305
953	249781	12043
954	250054	11782
955	250331	11521
956	250608	11260
957	250879	10998
958	251158	10737
959	251427	10476
960	251698	10214
961	251970	9953
962	252245	9691
963	252504	9429
964	252774	9167
965	253056	8906
966	253334	8645
967	253600	8383
968	253878	8122
969	254152	7860
970	254436	7599
971	254672	7336
972	254946	7074
973	255213	6812
974	255468	6550
975	255737	6288
976	256011	6026
977	256283	5765
978	256559	5503
979	256827	5241
980	257107	4979
981	257372	4717
982	257664	4456
983	257942	4194
984	258201	3932
985	258464	3669
986	258740	3407
987	259007	3145
988	259265	2883
989	259539	2621
990	259819	2359
991	260087	2097
992	260357	1835
993	260609	1573
994	260873	1310
995	261150	1048
996	261404	786
997	261644	524
998	261884	262
999	262128	0
