iter	RMSE
0	10705.06409
1	10340.2359
2	10004.10732
3	9694.344929
4	9407.958641
5	9152.544136
6	8907.63131
7	8680.056148
8	8474.171194
9	8290.445736
10	8121.970304
11	7974.142907
12	7814.087351
13	7675.098586
14	7545.514418
15	7417.341051
16	7306.99065
17	7203.847826
18	7115.279012
19	7022.024277
20	6937.994865
21	6862.031794
22	6786.047124
23	6720.562172
24	6659.733952
25	6604.027266
26	6552.378029
27	6499.991811
28	6443.085688
29	6408.222049
30	6364.180675
31	6320.843138
32	6285.582546
33	6254.917921
34	6216.238274
35	6194.558133
36	6164.197995
37	6128.643435
38	6093.827382
39	6062.244292
40	6039.717648
41	6009.254931
42	5993.229662
43	5958.957762
44	5937.235339
45	5916.390194
46	5895.86377
47	5868.170917
48	5840.818397
49	5825.112222
50	5816.351629
51	5801.805049
52	5772.550366
53	5758.052226
54	5734.821342
55	5717.284605
56	5693.081038
57	5677.676238
58	5660.397767
59	5643.929018
60	5630.230231
61	5617.585969
62	5605.090082
63	5593.467984
64	5586.167685
65	5572.302304
66	5560.058529
67	5550.317252
68	5539.559742
69	5527.475193
70	5515.022901
71	5502.712319
72	5499.47376
73	5483.036155
74	5472.876462
75	5468.797167
76	5455.247511
77	5442.591253
78	5436.493251
79	5429.1808
80	5415.013405
81	5398.581666
82	5385.383378
83	5373.72039
84	5363.664562
85	5356.066454
86	5344.18153
87	5336.783349
88	5322.538482
89	5313.522502
90	5306.649314
91	5301.818965
92	5288.90705
93	5281.725536
94	5269.933461
95	5265.347314
96	5258.9214
97	5254.485322
98	5246.642424
99	5238.414498
100	5232.78917
101	5215.711407
102	5207.64729
103	5202.168587
104	5183.78784
105	5179.233102
106	5170.859254
107	5159.358522
108	5149.939781
109	5145.929242
110	5138.331263
111	5129.098346
112	5117.158021
113	5115.445929
114	5108.222305
115	5095.456579
116	5089.834225
117	5078.820118
118	5071.511676
119	5060.780421
120	5055.61597
121	5050.522515
122	5040.745102
123	5028.460226
124	5018.703535
125	5007.453941
126	5002.450174
127	4995.518483
128	4991.62298
129	4984.748145
130	4977.920659
131	4968.756883
132	4958.672255
133	4955.340149
134	4950.525088
135	4943.485352
136	4934.118197
137	4932.324143
138	4923.324392
139	4918.269159
140	4915.912484
141	4912.495905
142	4910.721731
143	4901.62098
144	4892.680912
145	4884.214722
146	4878.92712
147	4873.134209
148	4866.986129
149	4862.095934
150	4856.225651
151	4848.288456
152	4840.518578
153	4837.777993
154	4830.190046
155	4821.564065
156	4811.473252
157	4810.318655
158	4806.809263
159	4796.737337
160	4795.043323
161	4790.716725
162	4789.476678
163	4783.341427
164	4778.378435
165	4776.121122
166	4770.118436
167	4766.831194
168	4765.460005
169	4760.122108
170	4753.770337
171	4750.293356
172	4748.69874
173	4740.877805
174	4737.839663
175	4730.807405
176	4728.349031
177	4723.037827
178	4721.412679
179	4710.288558
180	4709.486905
181	4701.063559
182	4693.233462
183	4690.592094
184	4685.45688
185	4682.029462
186	4680.567035
187	4671.648806
188	4670.912969
189	4663.783744
190	4658.953289
191	4653.697114
192	4649.291815
193	4648.251468
194	4642.627133
195	4637.43544
196	4635.398988
197	4633.041803
198	4629.465741
199	4627.035933
200	4625.46133
201	4618.933936
202	4617.936771
203	4610.756864
204	4607.780393
205	4606.599912
206	4605.434127
207	4603.939094
208	4600.921359
209	4597.503337
210	4591.714382
211	4588.600546
212	4583.056098
213	4575.170914
214	4566.784536
215	4564.059466
216	4555.385581
217	4553.544648
218	4549.326013
219	4548.654983
220	4547.872842
221	4541.622822
222	4534.975661
223	4532.330032
224	4525.47804
